text,main_emotion,sub_emotion,situation,source
웃으면서 넘겼지만 집에 와서도 계속 생각났다. 나만 관계를 소중하게 여기는 것 같아 마음이 아팠다. 괜찮다고 말했지만 사실은 괜찮지 않았다.,우울,합성,다이어리,synthetic_diary_train
하루를 정리해보면 큰아들이 급하게 수술을 하게 돼서 손해를 봤지만 가게를 팔게 되었어. 큰아들이 수술이니까 돈은 아깝지 않지만 앞으로가 걱정이야. 작은 병이라도 아프다는 소식에 많이 놀랐나 봐. 별일 아니니 걱정하지 말라고 안심시켜야겠어. 순간 어떻게 반응해야 할지 몰라 머리가 하얘졌다.,불안,한심한,대인관계,aihub_diary_style_train
처음 해보는 도전이라 긴장되지만 기대가 더 컸다. 새로운 일을 앞두고 기대감 때문에 마음이 두근거렸다. 좋은 방향으로 이어졌으면 좋겠다.,설렘,합성,다이어리,synthetic_project_label_train
"오늘 드디어 뮤지컬 공연을 보러 갔어! 😍 댄스 씬이 엄청 기대되는데, 어떻게 표현할지 너무 궁금해. 긴장도 되고 안달나는데, 무대에 서는 배우들 모습이 멋질 것 같아. 공연 시작 전부터 설렘이 가득해! 빨리 시작했으면 좋겠다.",설렘,"['궁금한', '긴장되는', '안달나는']",뮤지컬/연극,hf_kor_diary_emotion_train
친구와 있을 때는 웃었지만 헤어지고 나니 마음이 가라앉았다.,우울,감정전환,다이어리,synthetic_transition_train
큰 감정 변화 없이 무난한 하루를 보냈다. 해야 할 일을 정리하고 조용히 하루를 마무리했다. 그냥 평범한 하루였다고 느꼈다.,중립,합성,다이어리,synthetic_project_label_train
"오늘 있었던 일을 떠올리면 아침에는 괜히 마음이 가라앉았는데, 그래도 친구랑 웃으면서 이야기하니 행복했다.",행복,감정전환,다이어리,synthetic_transition_train
"하루를 정리하면 처음엔 참을 만했는데, 근데 같은 말을 또 들으니 결국 화가 났다.",화남,감정전환,다이어리,synthetic_transition_train
오늘 있었던 일을 떠올리면 오늘 친구가 돈을 빌려갔는데 그 친구는 믿을 수 있어서 흔쾌히 빌려줬어. 몸이 안 좋을 때도 꼬박꼬박 돈을 갚았던 친구야. 아주 성실한 친구지. 그 친구가 힘들 때 나를 의지해 주었으면 좋겠어. 오늘을 떠올리면 웃음이 먼저 난다.,안정,신뢰하는,재정,aihub_diary_style_train
하루를 정리해보면 나는 이제 사람에 대한 측은지심을 버릴까 봐. 내가 정이 많은 것을 이용하는 친구가 있어서 마음이 좋지 않아. 아픈데 입원비가 없다는 친구가 있어 마련해 주었더니 거짓말이더라고. 어떻게 그럴 수가 있지? 늘 이용당하는 나 자신이 어리숙하게 여겨지고 싫어. 서로 좋은 마음으로 살면 안 되는 걸까? 내가 왜 이런 기분을 참아야 하는지 답답했다.,화남,구역질 나는,대인관계,aihub_diary_style_train
오늘은 중년이 되니 소득이 많이 감소했어. 앞으로가 걱정된다. 모든 것이 비관적으로 보여. 자녀들도 아직 다 크지 않았는데 말이야. 최대한 긍정적으로 생각해봐야겠어. 자녀들과 좋은 시간을 보내는 것도 좋을 것 같아. 그 말과 상황이 계속 떠올라 마음이 쓰렸다.,우울,우울,"재정,은퇴,노후준비",aihub_diary_style_train
"오늘은 평범한 하루였어. 아침에 신호 대기 중에 차창 밖을 바라보니 사람들이 분주하게 움직이는 모습이 보였어. 별 일 없는 소소한 일상이지만, 그런 평범함이 오히려 좋더라고. 흐름이 느려지는 순간에도 나만의 시간을 가지게 되는 기분이었어.",중립,"['별 일 없는', '소소한', '평범한']",신호 대기,hf_kor_diary_emotion_train
"오늘 있었던 일을 떠올리면 아침에는 괜히 마음이 가라앉았는데, 그래도 친구랑 웃으면서 이야기하니 행복했다.",행복,감정전환,다이어리,synthetic_transition_train
오늘은 친한 친구들이 갑자기 나를 따돌리기 시작해서 너무 속상해. 갑자기 왕따를 당하니 어떻게 해야 할지 모르겠어. 그냥 막막하기만 해. 아무래도 친구들이랑 얘기를 해봐야겠어. 진심으로 얘기를 하면 들어줄 거야. 겉으로는 넘겼지만 속으로는 꽤 상처가 됐다.,우울,버려진,학교폭력/따돌림,aihub_diary_style_train
하루를 정리해보면 의사가 처방한 약을 먹으면 공황장애가 많이 좋아진다고 했는데 별로 나아진 게 없는 것 같아. 약을 아무리 먹어도 차도가 없으니까 공황장애가 더 심해지는 것 같기도 해. 억울해. 내 상황을 알고 도와주려는 사람들이 많이 있어. 안 좋은 생각은 안 하는 게 좋겠어. 나만 소중하게 여겨지지 않는 것 같아 마음이 아팠다.,우울,억울한,"건강,죽음",aihub_diary_style_train
하루를 정리해보면 젊을 때 전쟁에만 안 나갔어도 멀쩡하게 일하면서 돈 모아뒀을 텐데. 배운 게 없어 막노동을 해야 하는데 온갖 소음이 들리면 전쟁 때 생각이 나서 일을 할 수가 없었어. 그러니 젊을 때 일을 못 해서 지금 이렇게 근근히 살아. 마음 한쪽이 무겁고 쉽게 털어지지 않았다.,우울,마비된,재정,aihub_diary_style_train
